"sitecode","area","date","npp_mean","npp_min","npp_max","npp_sd","npp_nvals","npp_n_nas","npp_n_pix","qc_mean","qc_min","qc_max","qc_sd","qc_nvals","qc_n_nas","qc_n_pix"
"BBS","ZOI",2000-12-31,1.72246632281553,0.75,6.5499,1.26583116770886,4944,1178,6122,76.1024759284732,45,100,6.33348970013334,4362,1760,6122
"BBS","ZOI",2001-12-31,1.66586801537528,0.6558,6.5498,1.28178737499206,4943,1179,6122,78.4236509758898,49,100,6.37795504119154,4355,1767,6122
"BBS","ZOI",2002-12-31,1.75747133319846,0.752,6.5494,1.25701939777379,4943,1179,6122,70.5842081241442,41,100,7.26330728927289,4382,1740,6122
"BBS","ZOI",2003-12-31,1.82635473300971,0.7268,6.5497,1.23900714796433,4944,1178,6122,71.2953663547135,43,100,7.86823270057295,4381,1741,6122
"BBS","ZOI",2004-12-31,1.86564274731944,0.8349,6.5497,1.22560384595152,4943,1179,6122,71.0989488117002,43,100,7.46662142244932,4376,1746,6122
"BBS","ZOI",2005-12-31,1.7346246206757,0.7633,6.5493,1.26313587361263,4943,1179,6122,74.3475274725275,38,100,7.41041378689125,4368,1754,6122
"BBS","ZOI",2006-12-31,1.90563552498483,0.8664,6.5496,1.21401859959985,4943,1179,6122,68.316894977169,42,100,7.58317132034717,4380,1742,6122
"BBS","ZOI",2007-12-31,1.72222018608414,0.7638,6.5499,1.26813460194719,4944,1178,6122,70.761197440585,42,100,7.20865275822504,4376,1746,6122
"BBS","ZOI",2008-12-31,1.68785329692557,0.7108,6.55,1.27759333837391,4944,1178,6122,72.3298261665142,44,100,7.02983137020692,4372,1750,6122
"BBS","ZOI",2009-12-31,1.83106963382561,0.8026,6.5493,1.2340950197864,4943,1179,6122,68.6025114155251,41,100,7.64162129200413,4380,1742,6122
"BBS","ZOI",2010-12-31,1.41139178802589,0.426,6.5499,1.35898320087047,4944,1178,6122,78.0553514010106,52,99,6.27089038598385,4354,1768,6122
"BBS","ZOI",2011-12-31,1.6891371029739,0.7222,6.5496,1.27511712824814,4943,1179,6122,71.513260173754,43,100,6.24770217828584,4374,1748,6122
"BBS","ZOI",2012-12-31,1.65073163430421,0.6877,6.5495,1.28858788785726,4944,1178,6122,69.4346733668342,38,100,7.05644555987196,4378,1744,6122
"BBS","ZOI",2013-12-31,1.58794468042071,0.595,6.5499,1.30686650167123,4944,1178,6122,71.4924485125858,42,100,6.62572738659277,4370,1752,6122
"BBS","Sample Area",2000-12-31,1.32462401960784,1.1134,2.0489,0.0859752075703693,204,0,204,79.4852941176471,63,94,4.2000210428472,204,0,204
"BBS","Sample Area",2001-12-31,1.25836225490196,0.9958,1.9817,0.0822058463804541,204,0,204,82.6029411764706,71,100,3.29564441271277,204,0,204
